DATABASE	Lon	Lat	30_ag	30_F0	30_Tc	50_ag	50_F0	50_Tc	72_ag	72_F0	72_Tc	101_ag	101_F0	101_Tc	140_ag	140_F0	140_Tc	201_ag	201_F0	201_Tc	475_ag	475_F0	475_Tc	975_ag	975_F0	975_Tc	2475_ag	2475_F0	2475_Tc
7663	13.78	46.585	0.296	2.58	0.21	0.373	2.63	0.24	0.461	2.52	0.27	0.546	2.51	0.28	0.644	2.48	0.29	0.75	2.47	0.31	1.038	2.53	0.35	1.385	2.53	0.36	1.909	2.61	0.38
7438	13.562	46.635	0.316	2.59	0.22	0.409	2.59	0.25	0.511	2.49	0.27	0.599	2.49	0.28	0.699	2.46	0.3	0.805	2.48	0.32	1.153	2.47	0.35	1.518	2.51	0.36	2.079	2.62	0.37
7662	13.707	46.585	0.314	2.59	0.22	0.408	2.59	0.25	0.511	2.48	0.27	0.599	2.49	0.28	0.7	2.46	0.29	0.811	2.47	0.31	1.166	2.47	0.34	1.546	2.5	0.36	2.134	2.6	0.37
7437	13.489	46.635	0.326	2.6	0.22	0.438	2.54	0.25	0.534	2.49	0.27	0.626	2.48	0.28	0.727	2.45	0.3	0.841	2.48	0.32	1.202	2.48	0.35	1.584	2.51	0.36	2.174	2.62	0.37
6983	12.762	46.733	0.273	2.56	0.2	0.341	2.58	0.23	0.389	2.6	0.27	0.45	2.55	0.29	0.516	2.57	0.32	0.607	2.55	0.33	0.834	2.64	0.37	1.093	2.6	0.39	1.456	2.66	0.43
6982	12.689	46.732	0.268	2.55	0.2	0.334	2.58	0.23	0.381	2.59	0.26	0.437	2.55	0.29	0.499	2.56	0.32	0.578	2.59	0.34	0.792	2.68	0.37	1.056	2.59	0.39	1.395	2.68	0.43
6981	12.617	46.732	0.261	2.54	0.2	0.327	2.57	0.22	0.373	2.58	0.26	0.423	2.56	0.29	0.485	2.55	0.32	0.554	2.61	0.34	0.769	2.62	0.38	0.987	2.64	0.42	1.347	2.64	0.44
6980	12.544	46.731	0.254	2.53	0.2	0.319	2.56	0.22	0.364	2.58	0.26	0.409	2.58	0.28	0.47	2.53	0.32	0.538	2.59	0.33	0.741	2.59	0.38	0.928	2.67	0.43	1.298	2.62	0.45
7210	13.126	46.684	0.318	2.6	0.22	0.401	2.62	0.25	0.504	2.49	0.27	0.582	2.52	0.29	0.686	2.46	0.31	0.784	2.5	0.32	1.078	2.55	0.36	1.427	2.55	0.37	1.929	2.64	0.39
7436	13.417	46.635	0.336	2.59	0.22	0.46	2.48	0.25	0.556	2.47	0.27	0.647	2.47	0.28	0.749	2.44	0.3	0.867	2.48	0.32	1.242	2.48	0.34	1.635	2.52	0.36	2.241	2.62	0.37
7661	13.635	46.585	0.331	2.6	0.22	0.457	2.48	0.25	0.554	2.47	0.27	0.647	2.47	0.28	0.753	2.44	0.29	0.879	2.46	0.31	1.268	2.48	0.34	1.69	2.49	0.35	2.349	2.59	0.36
7209	13.053	46.684	0.317	2.59	0.22	0.397	2.62	0.25	0.498	2.49	0.28	0.575	2.53	0.29	0.68	2.46	0.31	0.779	2.5	0.32	1.07	2.55	0.36	1.413	2.55	0.37	1.909	2.64	0.39
7885	13.779	46.535	0.319	2.59	0.22	0.424	2.57	0.25	0.521	2.49	0.27	0.614	2.49	0.28	0.717	2.45	0.29	0.834	2.46	0.31	1.198	2.47	0.34	1.597	2.49	0.35	2.213	2.6	0.37
7435	13.344	46.635	0.347	2.58	0.22	0.476	2.46	0.25	0.566	2.48	0.27	0.662	2.46	0.28	0.764	2.44	0.3	0.886	2.48	0.32	1.27	2.48	0.34	1.67	2.52	0.36	2.287	2.63	0.37
7208	12.981	46.684	0.314	2.59	0.22	0.39	2.64	0.25	0.487	2.49	0.28	0.563	2.53	0.29	0.663	2.49	0.31	0.769	2.5	0.32	1.052	2.55	0.36	1.388	2.54	0.38	1.87	2.64	0.39
7660	13.562	46.585	0.357	2.54	0.22	0.491	2.46	0.25	0.583	2.48	0.27	0.689	2.45	0.28	0.797	2.44	0.29	0.935	2.46	0.31	1.355	2.48	0.34	1.809	2.49	0.35	2.539	2.56	0.36
7207	12.908	46.684	0.309	2.59	0.21	0.384	2.64	0.25	0.471	2.5	0.28	0.553	2.52	0.29	0.638	2.53	0.31	0.755	2.5	0.32	1.026	2.56	0.36	1.352	2.53	0.38	1.812	2.64	0.39
7434	13.272	46.635	0.353	2.57	0.22	0.483	2.46	0.26	0.574	2.48	0.27	0.672	2.46	0.28	0.774	2.44	0.3	0.898	2.48	0.32	1.287	2.48	0.35	1.691	2.52	0.36	2.315	2.63	0.37
7206	12.835	46.683	0.304	2.58	0.21	0.377	2.63	0.25	0.451	2.54	0.28	0.54	2.48	0.3	0.606	2.58	0.31	0.726	2.52	0.33	0.994	2.56	0.36	1.305	2.53	0.39	1.743	2.63	0.41
7884	13.707	46.535	0.348	2.56	0.22	0.483	2.45	0.25	0.575	2.48	0.27	0.679	2.45	0.28	0.787	2.43	0.29	0.926	2.45	0.31	1.344	2.47	0.33	1.803	2.48	0.35	2.542	2.55	0.36
7659	13.489	46.585	0.379	2.52	0.22	0.514	2.48	0.25	0.608	2.48	0.27	0.722	2.44	0.28	0.838	2.44	0.29	0.983	2.45	0.31	1.422	2.48	0.33	1.901	2.5	0.35	2.678	2.55	0.36
7205	12.763	46.683	0.297	2.58	0.21	0.369	2.61	0.25	0.428	2.61	0.27	0.517	2.5	0.3	0.589	2.56	0.31	0.686	2.57	0.33	0.962	2.56	0.36	1.227	2.59	0.39	1.666	2.63	0.42
7433	13.199	46.635	0.356	2.57	0.22	0.487	2.46	0.26	0.578	2.48	0.27	0.677	2.46	0.29	0.778	2.44	0.3	0.904	2.48	0.32	1.295	2.48	0.35	1.701	2.53	0.36	2.33	2.63	0.37
7204	12.69	46.682	0.29	2.57	0.21	0.36	2.6	0.25	0.414	2.61	0.27	0.489	2.54	0.29	0.571	2.51	0.32	0.652	2.59	0.33	0.928	2.55	0.37	1.172	2.61	0.39	1.587	2.64	0.42
7203	12.617	46.682	0.282	2.57	0.21	0.351	2.59	0.24	0.399	2.61	0.27	0.464	2.55	0.3	0.541	2.54	0.32	0.627	2.56	0.34	0.876	2.59	0.37	1.125	2.61	0.39	1.514	2.63	0.43
7202	12.545	46.681	0.274	2.56	0.2	0.341	2.58	0.23	0.388	2.59	0.27	0.447	2.54	0.3	0.51	2.57	0.32	0.596	2.57	0.34	0.811	2.69	0.37	1.08	2.58	0.4	1.429	2.67	0.43
7432	13.126	46.634	0.356	2.57	0.22	0.487	2.46	0.26	0.579	2.48	0.27	0.678	2.46	0.29	0.778	2.44	0.31	0.904	2.48	0.32	1.294	2.48	0.35	1.698	2.53	0.36	2.326	2.62	0.37
7658	13.417	46.585	0.396	2.5	0.22	0.531	2.48	0.25	0.631	2.47	0.27	0.746	2.43	0.28	0.867	2.44	0.29	1.023	2.43	0.31	1.472	2.48	0.33	1.963	2.51	0.35	2.772	2.55	0.36
7883	13.634	46.535	0.384	2.51	0.22	0.523	2.47	0.25	0.621	2.47	0.27	0.739	2.43	0.28	0.864	2.44	0.29	1.02	2.44	0.3	1.481	2.47	0.33	1.994	2.48	0.34	2.852	2.51	0.36
7431	13.054	46.634	0.352	2.58	0.22	0.484	2.45	0.26	0.575	2.47	0.27	0.673	2.46	0.29	0.773	2.44	0.31	0.896	2.48	0.32	1.281	2.48	0.35	1.679	2.53	0.36	2.297	2.63	0.37
8107	13.779	46.485	0.351	2.55	0.22	0.486	2.45	0.25	0.578	2.48	0.27	0.683	2.46	0.28	0.792	2.44	0.29	0.932	2.45	0.31	1.354	2.47	0.33	1.819	2.48	0.35	2.565	2.55	0.36
